token_idx	peer	name	family	members	fid_at_birth
150	kind	kind-cooccurs	kind-cooccurs	6	0.0613
150	kind	kind-with-cross-cont	kind-with-cross-context	17	0.0574
150	kind	kind-transition	kind-transition	13	0.0300
150	vocab	text-with-cross-cont	text-with-cross-context	25	0.0379
150	position	position-with-cross-	position-with-cross-context	14	0.0368
150	frequency	freq-with-cross-cont	freq-with-cross-context	23	0.0356
150	composer	composer-pair	composer-pair	27	0.1595
300	position	position-text-bindin	position-text-binding	69	0.0349
300	composer	composer-extension	composer-extension	17	0.0315
300	composer	composer-axis-affini	composer-axis-affinity	23	0.0400
300	composer	composer-tuple	composer-tuple	12	0.0303
450	vocab	text-in-position	text-in-position	35	0.0355
450	vocab	text-presence	text-presence	22	0.0322
450	vocab	text-context-pattern	text-context-pattern	9	0.0704
450	position	position-context-pat	position-context-pattern	22	0.0729
450	position	position-presence	position-presence	7	0.0468
600	vocab	text-kind-binding	text-kind-binding	21	0.0343
1050	kind	kind-context-pattern	kind-context-pattern	8	0.0922
1350	kind	kind-presence	kind-presence	5	0.0447
