window_end_token	kind.derived	kind.predictive	kind.ratified	kind.promoted	kind.evictions	kind.inventions	kind.constraintTotal	kind.uniqueAlphabetCovered	kind.scalar	kind.gap	vocab.derived	vocab.predictive	vocab.ratified	vocab.promoted	vocab.evictions	vocab.inventions	vocab.constraintTotal	vocab.uniqueAlphabetCovered	vocab.scalar	vocab.gap	cooccur.derived	cooccur.predictive	cooccur.ratified	cooccur.promoted	cooccur.evictions	cooccur.inventions	cooccur.constraintTotal	cooccur.uniqueAlphabetCovered	cooccur.scalar	cooccur.gap	position.derived	position.predictive	position.ratified	position.promoted	position.evictions	position.inventions	position.constraintTotal	position.uniqueAlphabetCovered	position.scalar	position.gap	frequency.derived	frequency.predictive	frequency.ratified	frequency.promoted	frequency.evictions	frequency.inventions	frequency.constraintTotal	frequency.uniqueAlphabetCovered	frequency.scalar	frequency.gap	composer.derived	composer.predictive	composer.ratified	composer.promoted	composer.evictions	composer.inventions	composer.constraintTotal	composer.uniqueAlphabetCovered	composer.scalar	composer.gap
250	68	298	0	2	216	0	151	4	0.7087	0.1726	456	0	0	1	0	0	200	5	0.7643	0.1173	286	0	0	0	0	0	200	3	0.8081	0.0691	161	119	0	1	78	0	182	4	0.7054	0.1487	73	0	0	1	0	0	74	5	0.4032	0.2201	195	276	113	4	15	113	200	1	0.1379	0.2772
500	70	798	0	2	716	0	153	4	0.7041	0.2247	793	120	0	1	120	0	200	5	0.6690	0.1814	519	8	0	0	3	0	200	3	0.6907	0.1469	226	513	0	1	472	0	165	4	0.6893	0.1980	74	0	0	1	0	0	75	5	0.3867	0.3666	593	776	152	4	15	152	200	1	0.2027	0.4804
750	70	1298	0	2	1216	0	153	4	0.6645	0.2596	1004	127	2	1	120	2	200	5	0.5639	0.2786	731	29	0	0	21	0	200	3	0.6634	0.2246	287	755	5	1	722	5	199	4	0.6856	0.2332	75	0	0	1	0	0	76	5	0.3676	0.4518	935	1276	167	4	15	167	200	1	0.1823	0.6144
1000	75	1798	0	2	1716	0	158	4	0.6912	0.2826	1445	261	27	4	126	27	200	5	0.5411	0.3559	1212	107	4	0	90	4	200	3	0.7748	0.2259	375	947	86	3	816	86	200	4	0.5311	0.3249	84	0	0	1	0	0	85	5	0.3917	0.5225	1411	1776	173	4	15	173	200	1	0.1682	0.7049
1250	75	2298	0	2	2216	0	158	4	0.6895	0.2976	1843	373	76	5	154	76	200	5	0.5130	0.3958	1652	195	5	0	180	5	200	3	0.7525	0.2276	430	1062	163	3	871	163	195	4	0.5089	0.3864	86	0	0	1	0	0	87	5	0.3999	0.5506	1836	2276	199	4	15	199	200	1	0.0762	0.7633
1500	83	2798	0	2	2716	0	166	4	0.6921	0.3070	2254	467	113	5	171	113	200	5	0.5108	0.4225	2146	289	8	0	267	8	200	3	0.8351	0.2087	515	1206	262	4	907	262	200	4	0.4561	0.4264	92	0	0	1	0	0	93	5	0.4442	0.5671	2201	2776	216	4	15	216	200	1	0.0758	0.8333
1750	88	3298	0	2	3216	0	171	4	0.6778	0.3210	2621	520	132	5	172	132	200	5	0.5382	0.4642	2456	330	8	0	308	8	200	3	0.7564	0.2587	564	1261	294	4	912	294	200	4	0.4822	0.4755	93	0	0	1	0	0	94	5	0.4078	0.5713	2588	3276	216	4	15	216	200	1	0.0563	0.8751
2000	89	3798	0	2	3716	0	172	4	0.6760	0.3214	2995	635	175	5	183	175	200	5	0.5376	0.4726	2771	392	11	0	366	11	200	3	0.8098	0.2682	640	1439	428	4	937	428	197	4	0.5360	0.4850	93	0	0	1	0	0	94	5	0.3805	0.5832	3005	3776	216	4	15	216	200	1	0.0506	0.9011
2250	89	4298	0	2	4216	0	172	4	0.6640	0.3268	3387	761	205	5	203	205	200	5	0.5899	0.4680	3121	429	11	0	406	11	200	3	0.8099	0.2779	714	1592	516	4	955	516	200	4	0.5458	0.4958	93	0	0	1	0	0	94	5	0.3672	0.5943	3394	4276	216	4	15	216	200	1	0.0276	0.9176
2500	90	4798	0	2	4716	0	173	4	0.6903	0.3279	3791	853	231	5	217	231	197	5	0.5189	0.4598	3597	528	16	0	499	16	199	3	0.8202	0.2463	799	1733	586	4	1024	586	198	4	0.4900	0.4881	93	0	0	1	0	0	94	5	0.4344	0.5969	3817	4776	216	4	15	216	200	1	0.0447	0.9241
2750	90	5298	0	2	5216	0	173	4	0.6715	0.3296	4208	989	274	5	245	274	200	5	0.5030	0.4584	4071	616	22	0	579	22	200	3	0.8052	0.2285	874	1879	665	4	1071	665	200	4	0.4900	0.4900	95	0	0	1	0	0	96	5	0.4058	0.5981	4218	5276	216	4	15	216	200	1	0.0588	0.9297
3000	90	5798	0	2	5716	0	173	4	0.6520	0.3343	4656	1144	318	5	250	318	200	5	0.4655	0.4679	4546	731	28	0	690	28	199	3	0.8094	0.2143	947	1977	730	4	1104	730	200	4	0.5128	0.4869	96	0	0	1	0	0	97	5	0.4094	0.6010	4626	5776	217	4	15	217	200	1	0.0447	0.9339
3250	90	6298	0	2	6216	0	173	4	0.6466	0.3378	5024	1237	357	5	274	357	200	5	0.4870	0.4800	4980	816	33	0	776	33	198	3	0.7381	0.2184	1001	2069	780	4	1137	780	200	4	0.5141	0.4800	96	0	0	1	0	0	97	5	0.3907	0.5987	5036	6276	217	4	15	217	200	1	0.0671	0.9348
3500	90	6798	0	2	6716	0	173	4	0.6647	0.3375	5417	1338	394	5	277	394	200	5	0.5745	0.4985	5375	872	35	0	828	35	200	3	0.7260	0.2314	1065	2220	861	4	1205	861	200	4	0.4698	0.4970	97	0	0	1	0	0	98	5	0.3839	0.5985	5474	6776	217	4	15	217	200	1	0.0574	0.9371
3750	98	7298	36	2	7154	36	198	4	0.6851	0.3325	5842	1514	442	5	291	442	200	5	0.5585	0.4897	5856	966	39	0	914	39	200	3	0.7919	0.2184	1143	2375	955	4	1250	955	200	4	0.4652	0.4936	101	0	0	1	0	0	102	5	0.4279	0.5981	5918	7276	217	4	15	217	200	1	0.0403	0.9368
4000	101	7798	36	3	7654	36	198	4	0.6412	0.3387	6253	1590	480	5	301	480	200	5	0.4686	0.4961	6297	1043	43	0	988	43	199	3	0.8079	0.2210	1218	2463	1029	4	1282	1029	198	4	0.4603	0.5147	101	0	0	1	0	0	102	5	0.3819	0.5986	6323	7776	217	4	15	217	200	1	0.0327	0.9396
4250	103	8298	36	3	8154	36	198	4	0.6477	0.3466	6644	1733	502	5	315	502	200	5	0.5518	0.4788	6745	1122	46	0	1060	46	200	3	0.8255	0.2217	1296	2713	1124	4	1370	1124	200	4	0.5355	0.4989	101	0	0	1	0	0	102	5	0.3960	0.6032	6752	8276	217	4	15	217	200	1	0.0554	0.9400
4500	104	8798	36	3	8654	36	198	4	0.6133	0.3578	7038	1826	532	5	316	532	200	5	0.4784	0.4884	7164	1203	48	0	1148	48	200	3	0.7206	0.2238	1357	2833	1203	4	1398	1203	200	4	0.4731	0.5032	101	0	0	1	0	0	102	5	0.3934	0.6073	7154	8776	217	4	15	217	200	1	0.0431	0.9414
4750	104	9298	36	3	9154	36	198	4	0.6264	0.3672	7408	1850	555	5	317	555	200	5	0.5277	0.4990	7497	1246	48	0	1189	48	200	3	0.7542	0.2688	1409	2857	1241	4	1400	1241	199	4	0.4852	0.5148	101	0	0	1	0	0	102	5	0.3815	0.6104	7492	9276	217	4	15	217	200	1	0.0435	0.9445
5000	104	9798	36	3	9654	36	198	4	0.6158	0.3717	7766	1933	572	5	318	572	200	5	0.4981	0.5076	7813	1295	49	0	1226	49	200	3	0.8128	0.2810	1469	2980	1276	4	1435	1276	199	4	0.5696	0.5069	102	0	0	1	0	0	103	5	0.4150	0.6074	7840	9776	217	4	15	217	200	1	0.0614	0.9435
5250	106	10298	36	3	10154	36	198	4	0.6155	0.3700	8173	2045	603	5	325	603	200	5	0.5211	0.5068	8258	1379	51	0	1317	51	199	3	0.7551	0.2553	1532	3086	1320	4	1540	1320	197	4	0.4722	0.4959	102	0	0	1	0	0	103	5	0.3699	0.6080	8232	10276	217	4	15	217	200	1	0.0366	0.9443
5500	106	10798	36	3	10654	36	198	4	0.6471	0.3689	8596	2175	656	5	338	656	200	5	0.4208	0.5082	8668	1441	52	0	1380	52	199	3	0.7405	0.2490	1606	3231	1417	4	1559	1417	200	4	0.4330	0.5065	104	0	0	1	0	0	105	5	0.3887	0.6073	8625	10776	217	4	15	217	200	1	0.0734	0.9439
5750	118	11298	36	3	11154	36	198	4	0.6256	0.3678	9030	2245	689	5	345	689	200	5	0.5411	0.4999	9110	1516	55	0	1455	55	200	3	0.7720	0.2401	1680	3324	1491	4	1583	1491	188	4	0.4692	0.5194	104	0	0	1	0	0	105	5	0.3813	0.6089	9040	11276	217	4	15	217	200	1	0.0475	0.9427
6000	118	11798	36	3	11654	36	198	4	0.6190	0.3665	9438	2340	721	5	359	721	200	5	0.4465	0.4855	9571	1583	60	0	1507	60	200	3	0.8057	0.2312	1746	3460	1555	4	1637	1555	199	4	0.4633	0.5006	104	0	0	1	0	0	105	5	0.3978	0.6069	9448	11776	217	4	15	217	200	1	0.0620	0.9421
6250	122	12298	36	3	12154	36	198	4	0.6175	0.3664	9765	2397	728	5	360	728	200	5	0.4496	0.5136	9949	1638	62	0	1571	62	199	3	0.6992	0.2418	1795	3547	1604	4	1642	1604	200	4	0.4129	0.5069	104	0	0	1	0	0	105	5	0.3954	0.6116	9817	12276	217	4	15	217	200	1	0.0471	0.9427
6500	125	12798	36	3	12654	36	198	4	0.6290	0.3707	10152	2535	759	5	364	759	200	5	0.4974	0.5189	10370	1698	64	0	1622	64	198	3	0.7428	0.2479	1860	3699	1650	4	1679	1650	200	4	0.6125	0.5047	104	0	0	1	0	0	105	5	0.4232	0.6126	10192	12776	217	4	15	217	200	1	0.0644	0.9419
6750	126	13298	36	3	13154	36	198	4	0.6165	0.3685	10525	2658	804	5	367	804	200	5	0.4224	0.5154	10755	1761	66	0	1685	66	200	3	0.7191	0.2535	1918	3878	1743	4	1813	1743	200	4	0.5074	0.4833	104	0	0	1	0	0	105	5	0.3808	0.6111	10564	13276	217	4	15	217	200	1	0.0787	0.9426
7000	126	13798	36	3	13654	36	198	4	0.6242	0.3720	10912	2801	842	5	386	842	200	5	0.5073	0.5107	11197	1828	68	0	1745	68	200	3	0.7887	0.2457	2001	4057	1841	4	1897	1841	200	4	0.5198	0.4912	104	0	0	1	0	0	105	5	0.3804	0.6162	10959	13776	217	4	15	217	200	1	0.0362	0.9433
7250	126	14298	36	3	14154	36	198	4	0.6246	0.3719	11303	2931	872	5	394	872	200	5	0.4980	0.4991	11607	1916	69	0	1828	69	199	3	0.7901	0.2463	2081	4262	1951	4	1976	1951	199	4	0.4292	0.4843	104	0	0	1	0	0	105	5	0.3837	0.6165	11363	14276	217	4	15	217	200	1	0.0343	0.9418
7500	127	14798	84	4	14573	84	198	4	0.6723	0.3630	11674	3030	896	5	395	896	200	5	0.4701	0.5076	11931	1980	70	0	1904	70	200	3	0.6467	0.2668	2134	4342	1988	4	2000	1988	200	4	0.5015	0.4973	104	0	0	1	0	0	105	5	0.3808	0.6164	11741	14776	217	4	15	217	200	1	0.0424	0.9418
7750	133	15298	112	4	15034	112	198	4	0.6961	0.3498	12038	3130	917	5	402	917	200	5	0.4748	0.5105	12380	2070	75	0	1979	75	200	3	0.7294	0.2494	2197	4559	2015	4	2162	2015	199	4	0.5800	0.4797	104	0	0	1	0	0	105	5	0.3786	0.6170	12167	15276	217	4	15	217	200	1	0.0885	0.9408
8000	136	15798	112	4	15534	112	198	4	0.7024	0.3299	12412	3246	953	5	406	953	200	5	0.5219	0.5114	12844	2146	79	0	2057	79	199	3	0.7609	0.2304	2260	4681	2098	4	2216	2098	200	4	0.5201	0.4845	104	0	0	1	0	0	105	5	0.4044	0.6187	12607	15776	217	4	15	217	200	1	0.0446	0.9393
8250	136	16298	112	4	16034	112	198	4	0.6965	0.3210	12735	3260	972	5	411	972	200	5	0.5599	0.5026	13103	2201	82	0	2119	82	186	3	0.7488	0.2320	2330	4695	2120	4	2234	2120	200	4	0.6120	0.4723	104	0	0	1	0	0	105	5	0.4444	0.6088	12949	16276	217	4	15	217	200	1	0.0477	0.9418
8500	136	16798	112	4	16534	112	198	4	0.6730	0.3168	13035	3278	979	5	414	979	200	5	0.3800	0.5118	13371	2230	83	0	2146	83	200	3	0.5659	0.2555	2370	4707	2127	4	2239	2127	200	4	0.5542	0.4503	104	0	0	1	0	0	105	5	0.3873	0.6075	13378	16776	217	4	15	217	200	1	0.0430	0.9387
8750	136	17298	112	4	17034	112	198	4	0.6649	0.3166	13271	3278	979	5	414	979	200	5	0.4677	0.5341	13507	2244	84	0	2156	84	200	3	0.5877	0.3614	2382	4707	2127	4	2239	2127	200	4	0.4822	0.4600	104	0	0	1	0	0	105	5	0.3698	0.6079	13780	17276	217	4	15	217	200	1	0.0397	0.9393
9000	137	17798	112	4	17534	112	198	4	0.6693	0.3173	13619	3346	990	5	417	990	200	5	0.4606	0.5305	13840	2288	96	0	2186	96	200	3	0.6819	0.3436	2451	4838	2155	4	2299	2155	180	4	0.4826	0.4763	104	0	0	1	0	0	105	5	0.4002	0.6129	14163	17776	217	4	15	217	200	1	0.0376	0.9422
9243	139	18284	112	4	18020	112	198	4	0.6740	0.3165	13945	3417	1001	5	421	1001	200	5	0.4350	0.5225	14258	2356	98	0	2244	98	200	3	0.7766	0.2962	2516	4952	2203	4	2362	2203	199	4	0.4851	0.4745	106	0	0	1	0	0	107	5	0.3882	0.6128	14594	18262	217	4	15	217	200	1	0.0770	0.9411
